Customer_ID,Age,Gender,Location,Education_Level,Income_Level,Avg_Order_Value,Total_Purchases,Total_Spending,Purchase_Freq,Last_Purchase_Date,Product_Category,Web_Visits_Mo,Time_On_Site,Cart_Abandonment,Discount_Usage,Loyalty_Member,Email_Click_Rate,CSAT_Score,Churn_Risk,CLV
CUST-1023,61,Male,Portland,Master's,74933,87.02,2,174.04,0.17,2025-07-07,Electronics,3,2.3,0.86,0.3,0,0.07,5,High,261.06
CUST-1024,47,Female,Austin,High School,61869,85.01,37,3145.37,3.08,2025-06-03,Apparel,10,9.4,0.37,0.34,0,0.07,3,High,4718.06
CUST-1025,55,Male,Seattle,Bachelor's,91166,101.05,45,4547.25,3.75,2025-11-02,Books,1,1.0,0.83,0.29,1,0.04,5,Medium,6820.88
CUST-1026,19,Female,Boston,Master's,33696,42.9,16,686.4,1.33,2025-03-27,Beauty,19,15.1,0.23,0.64,0,0.17,8,High,1029.6
CUST-1027,38,Male,Miami,Bachelor's,81326,89.3,48,4286.4,4.0,2025-07-25,Apparel,19,9.8,0.18,0.42,1,0.18,1,High,6429.6
CUST-1028,50,Female,Austin,High School,56787,74.75,24,1794.0,2.0,2026-02-22,Home & Kitchen,23,16.6,0.21,0.46,0,0.21,2,High,2691.0
CUST-1029,29,Female,Seattle,Bachelor's,54852,69.03,35,2416.05,2.92,2025-03-23,Luxury,23,18.0,0.29,0.68,0,0.2,2,High,3624.08
CUST-1030,75,Undisclosed,Atlanta,Master's,31000,47.16,22,1037.52,1.83,2025-05-31,Books,13,12.3,0.36,0.64,1,0.09,4,High,1556.28
CUST-1031,39,Female,San Francisco,Bachelor's,59812,85.03,36,3061.08,3.0,2025-03-14,Books,12,8.1,0.12,0.11,0,0.1,9,High,4591.62
CUST-1032,61,Male,Boston,Bachelor's,83707,113.34,11,1246.74,0.92,2025-12-26,Home & Kitchen,1,1.4,0.83,0.57,1,0.2,2,High,1870.11
CUST-1033,42,Female,Portland,Bachelor's,60918,95.42,46,4389.32,3.83,2025-12-13,Apparel,19,22.9,0.34,0.35,0,0.1,9,Low,6583.98
CUST-1034,66,Male,New York,Bachelor's,73910,94.51,29,2740.79,2.42,2025-12-06,Electronics,29,17.0,0.39,0.24,1,0.06,7,Low,4111.18
CUST-1035,44,Male,Boston,Bachelor's,87223,110.7,35,3874.5,2.92,2025-10-29,Beauty,24,27.6,0.36,0.04,1,0.11,10,Medium,5811.75
CUST-1036,59,Male,Denver,Master's,72456,94.34,48,4528.32,4.0,2025-08-12,Luxury,16,18.5,0.15,0.39,0,0.08,8,High,6792.48
CUST-1037,45,Female,Seattle,High School,74410,77.67,15,1165.05,1.25,2025-10-03,Electronics,25,36.4,0.09,0.28,1,0.03,1,High,1747.57
CUST-1038,33,Female,Chicago,Master's,37843,54.15,31,1678.65,2.58,2026-01-15,Electronics,23,11.6,0.09,0.2,1,0.25,5,Medium,2517.98
CUST-1039,32,Male,Atlanta,High School,58548,74.9,42,3145.8,3.5,2025-11-09,Home & Kitchen,23,17.2,0.15,0.56,0,0.26,9,Medium,4718.7
CUST-1040,64,Female,San Francisco,Bachelor's,99532,114.42,41,4691.22,3.42,2025-12-01,Apparel,28,40.0,0.26,0.62,0,0.07,4,Medium,7036.83
CUST-1041,68,Male,Atlanta,High School,67075,86.67,43,3726.81,3.58,2025-10-12,Books,15,21.5,0.33,0.2,0,0.02,2,High,5590.22
CUST-1042,61,Male,Boston,Bachelor's,102934,120.74,16,1931.84,1.33,2025-05-17,Books,16,19.5,0.36,0.04,0,0.22,6,High,2897.76
CUST-1043,72,Male,Chicago,Bachelor's,50537,60.67,10,606.7,0.83,2025-07-27,Home & Kitchen,11,13.9,0.27,0.68,0,0.06,2,High,910.05
CUST-1044,69,Male,Denver,Bachelor's,69678,88.17,49,4320.33,4.08,2025-12-15,Apparel,24,14.2,0.05,0.01,0,0.12,3,High,6480.5
CUST-1045,74,Female,Miami,High School,57346,70.96,32,2270.72,2.67,2025-04-02,Home & Kitchen,6,6.1,0.25,0.75,0,0.02,8,High,3406.08
CUST-1046,20,Female,New York,Bachelor's,32959,26.77,2,53.54,0.17,2025-10-01,Books,11,8.0,0.08,0.5,1,0.07,3,High,80.31
CUST-1047,54,Female,Chicago,High School,82900,88.93,24,2134.32,2.0,2025-04-13,Electronics,3,2.0,0.39,0.26,0,0.24,2,High,3201.48
CUST-1048,68,Male,Seattle,Master's,77049,97.94,23,2252.62,1.92,2025-07-06,Beauty,15,19.7,0.23,0.2,1,0.24,6,High,3378.93
CUST-1049,24,Male,Portland,PhD,35209,66.13,2,132.26,0.17,2025-11-07,Apparel,1,0.6,0.13,0.01,0,0.06,3,High,198.39
CUST-1050,38,Male,Denver,Bachelor's,64736,60.46,38,2297.48,3.17,2025-04-17,Luxury,7,6.8,0.38,0.19,0,0.1,1,High,3446.22
CUST-1051,26,Female,New York,Bachelor's,61189,72.49,31,2247.19,2.58,2025-11-28,Luxury,1,1.4,0.24,0.11,1,0.04,3,High,3370.78
CUST-1052,56,Male,San Francisco,Bachelor's,29836,54.15,40,2166.0,3.33,2026-01-13,Electronics,17,11.7,0.28,0.49,0,0.02,6,Medium,3249.0
CUST-1053,35,Female,Portland,High School,77769,106.55,26,2770.3,2.17,2025-08-23,Home & Kitchen,9,13.3,0.47,0.13,0,0.3,3,High,4155.45
CUST-1054,21,Undisclosed,Boston,Bachelor's,30860,46.66,29,1353.14,2.42,2026-02-18,Home & Kitchen,29,43.3,0.22,0.42,0,0.2,9,Low,2029.71
CUST-1055,42,Female,Chicago,Master's,63641,76.81,3,230.43,0.25,2025-09-27,Books,26,27.4,0.2,0.47,0,0.16,7,Medium,345.64
CUST-1056,31,Non-binary,New York,Bachelor's,61183,93.38,14,1307.32,1.17,2025-09-11,Electronics,23,15.4,0.38,0.24,0,0.23,5,Medium,1960.98
CUST-1057,67,Male,Austin,High School,64262,92.22,25,2305.5,2.08,2025-05-10,Books,13,10.6,0.13,0.03,1,0.25,2,High,3458.25
CUST-1058,75,Female,Miami,Master's,60275,88.86,48,4265.28,4.0,2025-09-06,Books,11,10.2,0.23,0.03,0,0.24,9,Medium,6397.92
CUST-1059,26,Female,Miami,Bachelor's,54439,69.76,1,69.76,0.08,2025-03-26,Luxury,29,23.5,0.31,0.02,1,0.0,5,High,104.64
CUST-1060,43,Female,Denver,Master's,69791,100.93,3,302.79,0.25,2026-01-04,Books,20,15.6,0.24,0.59,1,0.06,7,Low,454.19
CUST-1061,70,Male,San Francisco,Bachelor's,74683,75.23,26,1955.98,2.17,2025-03-24,Books,6,8.8,0.84,0.25,0,0.2,9,High,2933.97
CUST-1062,19,Male,Denver,Bachelor's,26147,57.46,18,1034.28,1.5,2025-03-27,Luxury,1,0.7,0.4,0.64,0,0.11,4,High,1551.42
CUST-1063,37,Male,Austin,High School,56985,76.32,9,686.88,0.75,2025-08-11,Home & Kitchen,7,8.6,0.47,0.35,1,0.29,9,High,1030.32
CUST-1064,45,Female,Seattle,High School,60907,82.2,38,3123.6,3.17,2025-08-29,Apparel,12,6.0,0.08,0.36,1,0.2,1,High,4685.4
CUST-1065,64,Female,San Francisco,PhD,65096,75.64,23,1739.72,1.92,2025-11-01,Beauty,22,24.1,0.26,0.41,0,0.29,6,Medium,2609.58
CUST-1066,24,Female,Atlanta,Bachelor's,29359,31.22,21,655.62,1.75,2025-07-19,Books,20,28.3,0.15,0.57,0,0.06,2,High,983.43
CUST-1067,61,Male,Seattle,PhD,78194,99.27,1,99.27,0.08,2025-08-12,Apparel,23,18.1,0.11,0.22,0,0.26,8,High,148.9
CUST-1068,25,Female,San Francisco,Bachelor's,21738,47.25,21,992.25,1.75,2025-04-06,Luxury,19,13.0,0.24,0.1,0,0.1,5,High,1488.38
CUST-1069,64,Male,San Francisco,High School,35499,62.53,27,1688.31,2.25,2025-03-04,Apparel,17,19.6,0.24,0.44,0,0.3,3,High,2532.46
CUST-1070,52,Male,Austin,High School,68871,94.82,42,3982.44,3.5,2025-03-11,Beauty,4,4.9,0.16,0.26,1,0.05,2,High,5973.66
CUST-1071,31,Male,Boston,Bachelor's,52946,76.63,6,459.78,0.5,2025-07-29,Apparel,3,3.6,0.66,0.35,0,0.15,8,High,689.67
CUST-1072,34,Female,Austin,PhD,82684,93.45,44,4111.8,3.67,2026-01-18,Apparel,1,0.8,0.6,0.52,1,0.24,7,Low,6167.7
CUST-1073,53,Male,San Francisco,Bachelor's,88396,116.07,36,4178.52,3.0,2026-02-07,Apparel,18,13.5,0.12,0.4,1,0.13,9,Low,6267.78
CUST-1074,67,Female,New York,Bachelor's,69674,79.32,28,2220.96,2.33,2025-09-28,Apparel,27,39.3,0.21,0.5,0,0.14,8,Medium,3331.44
CUST-1075,57,Female,Seattle,Bachelor's,43560,74.63,45,3358.35,3.75,2025-08-28,Electronics,21,29.9,0.3,0.44,0,0.3,4,High,5037.52
CUST-1076,21,Male,Austin,High School,35272,54.43,17,925.31,1.42,2025-06-26,Books,15,14.4,0.24,0.59,1,0.13,2,High,1387.96
CUST-1077,19,Female,Boston,Bachelor's,30994,50.49,40,2019.6,3.33,2025-07-08,Luxury,8,10.8,0.42,0.56,1,0.18,2,High,3029.4
CUST-1078,23,Male,Chicago,High School,22565,51.22,3,153.66,0.25,2025-05-13,Beauty,1,1.0,0.36,0.43,1,0.02,2,High,230.49
CUST-1079,71,Male,Denver,Master's,37029,67.04,12,804.48,1.0,2025-10-19,Luxury,20,18.5,0.26,0.54,0,0.25,6,Medium,1206.72
CUST-1080,59,Female,San Francisco,Bachelor's,95338,123.04,39,4798.56,3.25,2025-04-15,Electronics,14,9.2,0.38,0.7,0,0.19,7,High,7197.84
CUST-1081,21,Male,Atlanta,Bachelor's,36755,48.55,12,582.6,1.0,2026-02-08,Electronics,4,3.7,0.64,0.35,0,0.12,6,Medium,873.9
CUST-1082,71,Female,Chicago,Bachelor's,14657,42.28,2,84.56,0.17,2025-03-06,Electronics,5,5.2,0.16,0.33,0,0.0,2,High,126.84
CUST-1083,46,Female,Miami,Bachelor's,37844,49.7,46,2286.2,3.83,2025-12-04,Books,23,12.0,0.21,0.61,1,0.18,4,Medium,3429.3
CUST-1084,35,Female,Portland,PhD,87817,115.7,22,2545.4,1.83,2025-09-30,Electronics,13,12.3,0.36,0.47,0,0.0,3,High,3818.1
CUST-1085,43,Female,Boston,Bachelor's,64630,70.38,23,1618.74,1.92,2025-10-28,Apparel,28,35.9,0.08,0.06,1,0.0,4,Medium,2428.11
CUST-1086,61,Female,Atlanta,High School,79036,98.1,30,2943.0,2.5,2025-12-13,Luxury,24,28.3,0.4,0.71,0,0.18,5,Medium,4414.5
CUST-1087,51,Female,Portland,Bachelor's,63760,75.55,5,377.75,0.42,2025-03-21,Home & Kitchen,15,17.0,0.38,0.02,1,0.06,7,High,566.62
CUST-1088,27,Female,Boston,High School,78089,106.79,9,961.11,0.75,2026-01-10,Beauty,6,8.5,0.16,0.6,1,0.06,9,Low,1441.66
CUST-1089,53,Male,New York,High School,65116,96.27,21,2021.67,1.75,2025-07-29,Electronics,1,0.5,0.85,0.61,0,0.2,2,High,3032.5
CUST-1090,31,Male,Denver,PhD,56247,78.24,11,860.64,0.92,2025-09-07,Luxury,23,24.3,0.18,0.76,1,0.02,8,Medium,1290.96
CUST-1091,48,Female,Chicago,Master's,86174,107.84,5,539.2,0.42,2025-03-09,Electronics,19,24.5,0.35,0.04,0,0.09,3,High,808.8
CUST-1092,65,Female,Seattle,PhD,69041,96.08,35,3362.8,2.92,2025-06-22,Books,13,13.5,0.2,0.48,0,0.04,9,High,5044.2
CUST-1093,32,Male,Boston,Bachelor's,78047,109.26,27,2950.02,2.25,2025-06-29,Electronics,29,23.9,0.2,0.34,1,0.17,10,High,4425.03
CUST-1094,25,Female,Seattle,Bachelor's,30787,51.16,49,2506.84,4.08,2025-07-18,Electronics,29,18.5,0.27,0.26,1,0.2,4,High,3760.26
CUST-1095,31,Male,Denver,High School,55272,70.28,2,140.56,0.17,2025-11-16,Electronics,6,8.3,0.72,0.07,0,0.22,3,High,210.84
CUST-1096,40,Non-binary,San Francisco,Bachelor's,97167,123.64,24,2967.36,2.0,2025-08-21,Electronics,15,14.6,0.06,0.45,0,0.08,10,High,4451.04
CUST-1097,74,Male,Miami,Master's,72099,73.51,31,2278.81,2.58,2025-04-20,Beauty,16,22.0,0.26,0.38,1,0.03,6,High,3418.22
CUST-1098,57,Male,Chicago,Bachelor's,57899,87.0,33,2871.0,2.75,2025-05-04,Luxury,24,26.1,0.12,0.08,1,0.02,10,High,4306.5
CUST-1099,38,Male,Denver,Master's,90566,103.46,39,4034.94,3.25,2026-01-25,Books,23,27.0,0.17,0.49,0,0.13,9,Low,6052.41
CUST-1100,33,Female,Denver,Master's,38583,56.18,30,1685.4,2.5,2025-08-10,Electronics,16,20.9,0.17,0.59,1,0.28,7,High,2528.1
CUST-1101,62,Female,New York,High School,109725,138.89,46,6388.94,3.83,2025-06-08,Electronics,10,11.6,0.21,0.61,0,0.07,4,High,9583.41
CUST-1102,35,Male,Portland,Bachelor's,61417,77.26,37,2858.62,3.08,2025-06-07,Electronics,22,19.8,0.17,0.72,0,0.08,3,High,4287.93
CUST-1103,64,Female,Miami,Bachelor's,39639,66.11,28,1851.08,2.33,2025-09-13,Electronics,9,9.1,0.19,0.33,0,0.03,10,Medium,2776.62
CUST-1104,70,Male,Chicago,Bachelor's,103118,134.51,31,4169.81,2.58,2026-01-22,Apparel,9,11.7,0.22,0.76,0,0.18,4,Medium,6254.72
CUST-1105,41,Female,San Francisco,Master's,55736,76.84,11,845.24,0.92,2025-10-14,Apparel,17,14.9,0.06,0.69,1,0.2,3,High,1267.86
CUST-1106,43,Male,San Francisco,Bachelor's,69864,92.98,23,2138.54,1.92,2025-05-14,Home & Kitchen,17,15.1,0.21,0.24,0,0.19,3,High,3207.81
CUST-1107,42,Male,Austin,High School,79353,98.16,2,196.32,0.17,2026-01-09,Electronics,17,10.1,0.38,0.13,1,0.26,9,Low,294.48
CUST-1108,62,Female,Denver,Bachelor's,88683,109.84,40,4393.6,3.33,2025-05-19,Home & Kitchen,24,34.0,0.09,0.35,0,0.15,4,High,6590.4
CUST-1109,58,Undisclosed,Boston,PhD,70995,79.83,41,3273.03,3.42,2025-05-17,Beauty,12,7.1,0.38,0.32,1,0.04,9,High,4909.54
CUST-1110,46,Female,New York,High School,52053,69.12,27,1866.24,2.25,2025-10-12,Home & Kitchen,13,14.9,0.31,0.46,1,0.09,10,Medium,2799.36
CUST-1111,32,Female,Miami,Master's,69379,76.5,35,2677.5,2.92,2025-10-07,Luxury,12,11.0,0.27,0.47,1,0.2,5,Medium,4016.25
CUST-1112,62,Non-binary,San Francisco,Bachelor's,56613,67.63,2,135.26,0.17,2025-04-22,Apparel,14,12.7,0.28,0.6,1,0.18,7,High,202.89
CUST-1113,18,Male,Chicago,Master's,31245,31.22,39,1217.58,3.25,2025-08-30,Apparel,10,11.8,0.34,0.41,0,0.16,5,High,1826.37
CUST-1114,42,Undisclosed,Austin,Master's,97562,120.2,37,4447.4,3.08,2025-10-01,Electronics,23,13.0,0.09,0.08,1,0.2,1,High,6671.1
CUST-1115,24,Female,Chicago,Bachelor's,33779,70.7,21,1484.7,1.75,2025-08-13,Electronics,19,20.8,0.23,0.69,1,0.19,2,High,2227.05
CUST-1116,26,Female,New York,Bachelor's,69132,84.57,5,422.85,0.42,2025-10-25,Beauty,29,36.9,0.29,0.25,0,0.26,5,Medium,634.28
CUST-1117,41,Female,Boston,Master's,79769,109.42,45,4923.9,3.75,2025-05-19,Books,2,2.7,0.57,0.78,1,0.18,6,High,7385.85
CUST-1118,18,Female,Austin,Bachelor's,34050,65.31,21,1371.51,1.75,2025-04-25,Beauty,4,2.7,0.77,0.09,0,0.23,7,High,2057.26
CUST-1119,61,Female,Austin,Master's,43442,51.45,29,1492.05,2.42,2025-06-22,Luxury,19,26.6,0.08,0.77,0,0.07,2,High,2238.07
CUST-1120,25,Female,Portland,High School,30208,40.37,20,807.4,1.67,2025-06-09,Electronics,7,8.1,0.65,0.07,1,0.2,10,High,1211.1
CUST-1121,41,Female,Miami,Master's,116250,146.16,38,5554.08,3.17,2025-08-26,Electronics,26,35.9,0.24,0.18,0,0.27,9,High,8331.12
CUST-1122,28,Male,Austin,Master's,89256,108.33,20,2166.6,1.67,2025-07-15,Beauty,15,14.8,0.18,0.04,1,0.12,6,High,3249.9
CUST-1123,68,Non-binary,Portland,PhD,54931,62.02,25,1550.5,2.08,2025-06-04,Beauty,15,15.6,0.17,0.56,0,0.23,2,High,2325.75
CUST-1124,34,Female,Portland,High School,52935,66.57,2,133.14,0.17,2025-06-16,Beauty,24,34.1,0.27,0.68,0,0.22,2,High,199.71
CUST-1125,25,Male,New York,Bachelor's,26817,51.01,32,1632.32,2.67,2025-05-07,Apparel,6,8.4,0.81,0.35,0,0.02,3,High,2448.48
CUST-1126,52,Female,Seattle,Bachelor's,82326,94.39,26,2454.14,2.17,2025-08-16,Home & Kitchen,3,2.8,0.5,0.74,0,0.17,1,High,3681.21
CUST-1127,52,Female,Chicago,Bachelor's,97152,89.41,6,536.46,0.5,2025-04-13,Home & Kitchen,6,4.6,0.76,0.47,1,0.04,9,High,804.69
CUST-1128,50,Female,Boston,Bachelor's,76643,93.42,41,3830.22,3.42,2026-01-05,Electronics,16,14.3,0.19,0.5,0,0.29,10,Low,5745.33
CUST-1129,22,Female,Atlanta,High School,30785,48.38,3,145.14,0.25,2025-04-17,Apparel,2,1.8,0.18,0.68,0,0.24,4,High,217.71
CUST-1130,59,Male,Chicago,Master's,56116,76.21,33,2514.93,2.75,2025-08-11,Beauty,28,22.0,0.07,0.24,0,0.03,5,High,3772.39
CUST-1131,56,Female,Austin,Bachelor's,71587,104.18,1,104.18,0.08,2025-06-04,Electronics,7,5.4,0.14,0.28,0,0.04,7,High,156.27
CUST-1132,75,Non-binary,Boston,High School,48597,69.13,5,345.65,0.42,2025-11-13,Apparel,11,15.0,0.18,0.72,1,0.18,1,High,518.47
CUST-1133,58,Male,San Francisco,Bachelor's,26284,48.71,13,633.23,1.08,2025-11-06,Luxury,26,14.8,0.17,0.72,0,0.1,3,High,949.84
CUST-1134,45,Female,Seattle,Bachelor's,97736,128.29,19,2437.51,1.58,2025-11-30,Books,7,8.2,0.67,0.78,1,0.01,3,High,3656.27
CUST-1135,24,Male,San Francisco,High School,24970,45.07,12,540.84,1.0,2025-10-15,Apparel,4,2.7,0.69,0.72,1,0.16,2,High,811.26
CUST-1136,26,Female,San Francisco,PhD,58503,99.87,48,4793.76,4.0,2025-05-03,Electronics,29,24.5,0.07,0.1,1,0.12,8,High,7190.64
CUST-1137,25,Female,Miami,PhD,33281,40.64,25,1016.0,2.08,2026-01-04,Home & Kitchen,24,13.5,0.13,0.66,1,0.03,5,Medium,1524.0
CUST-1138,29,Female,Chicago,Bachelor's,93689,104.35,35,3652.25,2.92,2026-01-11,Beauty,20,15.4,0.15,0.33,0,0.24,1,High,5478.38
CUST-1139,51,Male,Atlanta,High School,70142,96.28,12,1155.36,1.0,2025-12-21,Books,7,8.9,0.54,0.79,0,0.27,2,High,1733.04
CUST-1140,50,Female,New York,Master's,41125,73.67,30,2210.1,2.5,2025-12-10,Luxury,4,5.5,0.22,0.38,1,0.23,1,High,3315.15
CUST-1141,65,Male,Atlanta,Bachelor's,58973,76.97,5,384.85,0.42,2025-11-17,Books,29,20.9,0.1,0.44,1,0.25,6,Medium,577.28
CUST-1142,72,Male,San Francisco,Bachelor's,51430,61.32,34,2084.88,2.83,2025-12-04,Books,12,11.6,0.38,0.42,1,0.06,9,Low,3127.32
CUST-1143,40,Male,Austin,Bachelor's,64235,101.84,22,2240.48,1.83,2026-02-28,Apparel,5,4.9,0.74,0.26,1,0.08,7,Low,3360.72
CUST-1144,41,Male,Seattle,Bachelor's,89639,101.72,39,3967.08,3.25,2025-03-07,Electronics,23,31.6,0.11,0.06,0,0.06,5,High,5950.62
CUST-1145,54,Female,Denver,Bachelor's,14252,37.64,13,489.32,1.08,2025-12-08,Electronics,29,36.6,0.19,0.72,0,0.23,3,High,733.98
CUST-1146,52,Female,Atlanta,Bachelor's,56772,89.91,47,4225.77,3.92,2026-01-18,Books,29,29.4,0.17,0.64,1,0.28,8,Low,6338.66
CUST-1147,61,Female,San Francisco,Bachelor's,55319,70.9,3,212.7,0.25,2025-09-29,Beauty,26,30.4,0.33,0.11,1,0.22,10,Medium,319.05
CUST-1148,57,Male,Seattle,PhD,39864,53.64,20,1072.8,1.67,2025-04-09,Electronics,19,25.6,0.23,0.62,0,0.26,4,High,1609.2
CUST-1149,39,Female,Boston,Bachelor's,76709,91.17,31,2826.27,2.58,2025-11-28,Books,26,13.2,0.09,0.5,1,0.19,9,Medium,4239.4
CUST-1150,44,Female,Chicago,Master's,36700,65.72,5,328.6,0.42,2025-05-08,Electronics,5,4.5,0.69,0.33,0,0.12,5,High,492.9
CUST-1151,52,Male,Portland,Master's,39002,69.6,24,1670.4,2.0,2025-10-20,Beauty,27,38.0,0.19,0.2,0,0.13,6,Medium,2505.6
CUST-1152,18,Non-binary,Miami,Bachelor's,34255,54.59,40,2183.6,3.33,2025-12-27,Luxury,19,23.6,0.14,0.69,1,0.02,5,Medium,3275.4
CUST-1153,52,Undisclosed,Seattle,Bachelor's,95011,133.84,33,4416.72,2.75,2025-05-16,Books,21,21.9,0.18,0.56,1,0.01,10,High,6625.08
CUST-1154,54,Male,Austin,Bachelor's,63478,83.8,8,670.4,0.67,2025-06-18,Home & Kitchen,3,3.1,0.5,0.44,0,0.21,7,High,1005.6
CUST-1155,64,Male,Austin,Bachelor's,40652,73.58,24,1765.92,2.0,2025-08-01,Home & Kitchen,27,22.9,0.17,0.49,0,0.13,7,High,2648.88
CUST-1156,31,Non-binary,Seattle,Master's,50888,66.57,20,1331.4,1.67,2025-10-05,Books,26,26.5,0.13,0.07,0,0.17,1,High,1997.1
CUST-1157,20,Female,Austin,Bachelor's,35040,78.38,16,1254.08,1.33,2025-12-31,Apparel,11,12.7,0.19,0.38,1,0.17,2,High,1881.12
CUST-1158,18,Male,Chicago,PhD,30582,66.28,12,795.36,1.0,2025-10-04,Luxury,7,6.4,0.12,0.15,0,0.08,7,Medium,1193.04
CUST-1159,22,Female,Austin,High School,29494,48.21,13,626.73,1.08,2025-12-04,Apparel,29,35.2,0.32,0.17,1,0.14,8,Low,940.1
CUST-1160,43,Female,Atlanta,High School,71260,105.61,45,4752.45,3.75,2025-04-12,Home & Kitchen,17,23.1,0.11,0.53,1,0.14,4,High,7128.67
CUST-1161,72,Female,Portland,Bachelor's,64246,98.09,42,4119.78,3.5,2025-05-28,Beauty,25,16.4,0.07,0.73,1,0.12,6,High,6179.67
CUST-1162,31,Female,Austin,Bachelor's,95914,131.44,39,5126.16,3.25,2025-12-10,Books,9,8.6,0.62,0.32,0,0.25,10,Low,7689.24
CUST-1163,56,Female,Portland,Bachelor's,50017,45.2,25,1130.0,2.08,2025-10-24,Electronics,21,19.1,0.32,0.17,1,0.14,3,High,1695.0
CUST-1164,44,Male,San Francisco,Bachelor's,47720,74.91,46,3445.86,3.83,2025-05-20,Home & Kitchen,9,10.7,0.75,0.52,0,0.18,7,High,5168.79
CUST-1165,26,Male,New York,Bachelor's,37330,62.75,32,2008.0,2.67,2025-03-14,Luxury,10,7.5,0.22,0.7,0,0.27,3,High,3012.0
CUST-1166,32,Female,Chicago,High School,54200,78.91,24,1893.84,2.0,2025-05-26,Home & Kitchen,13,14.8,0.12,0.6,0,0.26,7,High,2840.76
CUST-1167,32,Non-binary,New York,PhD,43160,65.34,48,3136.32,4.0,2025-06-05,Luxury,15,20.7,0.31,0.7,0,0.27,8,High,4704.48
